product_id,product_name,cost_price
1,Wireless Mouse,120
2,Mechanical Keyboard,135
3,USB C Charger,150
4,Laptop Stand,165
5,Noise Cancelling Headphones,180
6,Bluetooth Speaker,195
7,External Hard Drive,210
8,Webcam HD,225
9,Gaming Mouse Pad,240
10,Smartphone Tripod,255
11,Wireless Earbuds,130
12,Power Bank 10000mAh,145
13,HDMI Cable,160
14,USB Flash Drive 64GB,175
15,Portable SSD 500GB,190
16,Smartwatch Band,205
17,Fitness Tracker,220
18,Desk Lamp LED,235
19,Monitor Arm,250
20,Office Chair Cushion,265
21,Laptop Backpack,140
22,Tablet Cover,155
23,Screen Cleaning Kit,170
24,Wireless Keyboard,185
25,Ergonomic Mouse,200
26,Bluetooth Adapter,215
27,Noise Isolating Earphones,230
28,Webcam Cover Slider,245
29,Surge Protector,260
30,USB Hub 7 Port,275
31,Portable Monitor,150
32,Gaming Headset,165
33,Smart Home Plug,180
34,WiFi Range Extender,195
35,Desk Organizer,210
36,Phone Stand Adjustable,225
37,Wireless Charging Pad,240
38,Smart Light Bulb,255
39,Cable Management Box,270
40,Laptop Cooling Pad,285
41,Keyboard Wrist Rest,160
42,Mouse Wrist Support,175
43,Smart Door Sensor,190
44,Bluetooth Tracker,205
45,Portable Projector,220
46,Streaming Microphone,235
47,USB Microphone Stand,250
48,Webcam Tripod,265
49,Smart Alarm Clock,280
50,Standing Desk Converter,295
51,Wireless Presentation Remote,170
52,Smart IR Remote,185
53,Digital Drawing Tablet,200
54,Graphic Pen Stylus,215
55,USB Sound Card,230
56,Desk Foot Rest,245
57,Noise Reduction Mic,260
58,Wireless Router,275
59,Mesh WiFi Node,290
60,Smart Thermostat,305
61,Portable Bluetooth Keyboard,180
62,Laptop Privacy Screen,195
63,USB C Docking Station,210
64,Smart Video Doorbell,225
65,Wireless Security Camera,240
66,Smart Smoke Detector,255
67,Smart Motion Sensor,270
68,Smart Light Strip,285
69,Wireless Game Controller,300
70,VR Headset,315
71,Smart Fitness Scale,190
72,USB Desk Fan,205
73,Wireless Barcode Scanner,220
74,POS Receipt Printer,235
75,USB Numeric Keypad,250
76,Conference Speakerphone,265
77,Smart Whiteboard Pen,280
78,Digital Voice Recorder,295
79,Wireless Lavalier Mic,310
80,Smart Meeting Timer,325
81,USB C Extension Cable,200
82,Portable Label Printer,215
83,Wireless Document Scanner,230
84,Smart Card Reader,245
85,Portable Network Switch,260
86,USB Ethernet Adapter,275
87,Smart Power Strip,290
88,Industrial Barcode Reader,305
89,Wireless Access Point,320
90,Smart Conference Camera,335
91,USB Type A to C Cable,210
92,Wireless Screen Mirroring Device,225
93,Smart Audio Mixer,240
94,Portable PA System,255
95,Smart Noise Meter,270
96,Wireless Video Transmitter,285
97,USB C Capture Card,300
98,Professional Webcam,315
99,Smart Presentation Clicker,330
100,All in One Docking Station,345
